DIA,EVENTO,LOTE
2019-12-26 00:00:00,1,J_8-1-58
2019-12-27 00:00:00,0,J_8-1-58
2019-12-27 00:00:00,1,J_6-2-138
2019-12-27 00:00:00,0,J_7-2-120
2019-12-27 00:00:00,1,J_6-2-45
2019-12-28 00:00:00,1,J_8-1-58
2019-12-28 00:00:00,0,J_6-2-138
2019-12-28 00:00:00,1,J_7-2-120
2019-12-28 00:00:00,1,J_6-2-45
2019-12-28 00:00:00,0,J_9-3-65
2019-12-28 00:00:00,1,J_4-3-40
2019-12-28 00:00:00,1,J_2-3-149
2019-12-28 00:00:00,0,J_4-3-118
2019-12-29 00:00:00,0,J_8-1-58
2019-12-29 00:00:00,0,J_6-2-138
2019-12-29 00:00:00,1,J_7-2-120
2019-12-29 00:00:00,0,J_6-2-45
2019-12-29 00:00:00,1,J_9-3-65
2019-12-29 00:00:00,1,J_4-3-40
2019-12-29 00:00:00,0,J_2-3-149
2019-12-29 00:00:00,0,J_4-3-118
2019-12-29 00:00:00,0,J_3-4-80
2019-12-29 00:00:00,1,J_7-4-29
2019-12-29 00:00:00,1,J_8-4-148
2019-12-30 00:00:00,0,J_8-1-58
2019-12-30 00:00:00,0,J_6-2-138
2019-12-30 00:00:00,1,J_7-2-120
2019-12-30 00:00:00,0,J_6-2-45
2019-12-30 00:00:00,1,J_9-3-65
2019-12-30 00:00:00,1,J_4-3-40
2019-12-30 00:00:00,0,J_2-3-149
2019-12-30 00:00:00,0,J_4-3-118
2019-12-30 00:00:00,0,J_3-4-80
2019-12-30 00:00:00,0,J_7-4-29
2019-12-30 00:00:00,1,J_8-4-148
2019-12-30 00:00:00,0,J_6-5-110
2019-12-30 00:00:00,1,J_6-5-146
2019-12-30 00:00:00,0,J_2-5-133
2019-12-30 00:00:00,0,J_8-5-27
2019-12-30 00:00:00,0,J_9-5-134
2019-12-30 00:00:00,0,J_1-5-143
2019-12-30 00:00:00,0,J_6-5-66
2019-12-31 00:00:00,0,J_8-1-58
2019-12-31 00:00:00,1,J_6-2-138
2019-12-31 00:00:00,0,J_7-2-120
2019-12-31 00:00:00,1,J_6-2-45
2019-12-31 00:00:00,0,J_9-3-65
2019-12-31 00:00:00,0,J_4-3-40
2019-12-31 00:00:00,0,J_2-3-149
2019-12-31 00:00:00,0,J_4-3-118
2019-12-31 00:00:00,0,J_3-4-80
2019-12-31 00:00:00,1,J_7-4-29
2019-12-31 00:00:00,0,J_8-4-148
2019-12-31 00:00:00,1,J_6-5-110
2019-12-31 00:00:00,1,J_6-5-146
2019-12-31 00:00:00,0,J_2-5-133
2019-12-31 00:00:00,1,J_8-5-27
2019-12-31 00:00:00,1,J_9-5-134
2019-12-31 00:00:00,0,J_1-5-143
2019-12-31 00:00:00,1,J_6-5-66
2019-12-31 00:00:00,1,J_5-6-122
2019-12-31 00:00:00,1,J_9-6-60
2020-01-01 00:00:00,0,J_8-1-58
2020-01-01 00:00:00,0,J_6-2-138
2020-01-01 00:00:00,0,J_7-2-120
2020-01-01 00:00:00,1,J_6-2-45
2020-01-01 00:00:00,1,J_9-3-65
2020-01-01 00:00:00,0,J_4-3-40
2020-01-01 00:00:00,1,J_2-3-149
2020-01-01 00:00:00,0,J_4-3-118
2020-01-01 00:00:00,1,J_3-4-80
2020-01-01 00:00:00,0,J_7-4-29
2020-01-01 00:00:00,0,J_8-4-148
2020-01-01 00:00:00,1,J_6-5-110
2020-01-01 00:00:00,0,J_6-5-146
2020-01-01 00:00:00,1,J_2-5-133
2020-01-01 00:00:00,1,J_8-5-27
